record_id,pmid,title,abstract,included,asreview_ranking
2315,35967064,Titanium Surfaces Modified with Graphene Oxide/Gelatin Composite Coatings for Enhanced Antibacterial Properties and Biological Activities.,"Titanium alloys have been widely used in orthopedic implants due to their excellent physicochemical properties and good biocompatibility. However, in practice, titanium implants may fail to integrate or develop an implant-centered infection. Because of its excellent mechanical properties, bone integrability, biocompatibility, antibacterial properties, and so on, graphene oxide is increasingly being used in the preparation of composite biomaterials. The percutaneous titanium implants are used as the research object in this project. To solve the integration of implant and tissue, a graphene oxide/gelatin (GO/gel) composite coating was used to optimize the implant surface. Bacterial and cell experiments were used to investigate the antimicrobial activity, biocompatibility, and regulation of macrophage polarization of GO/gel-modified titanium. According to our findings, GO/gel-modified titanium has a good bacteriostatic effect against Staphylococcus aureus. On the modified surface, L929 cells proliferated well and showed no cytotoxicity. Simultaneously, the GO/gel-modified titanium surface could inhibit macrophage adhesion and spread in the early stage of culture and showed a more obvious inflammatory decline in the late stage of culture. These findings implied that GO/gel-modified titanium is advantageous for resistant bacteria and tissue remolding.",,228
250,35982597,Development of a Frailty Detection Model Using Machine Learning with the Korean Frailty and Aging Cohort Study Data.,"This paper aimed to use machine learning to identify a new group of factors predicting frailty in the elderly population by utilizing the existing frailty criteria as a basis, as well as to validate the obtained results. This study was conducted using data from the Korean Frailty and Aging Cohort Study (KFACS). The KFACS participants were classified as robust or frail based on Fried's frailty phenotype and excluded if they did not properly answer the questions, resulting in 1,066 robust and 165 frail participants. We then selected influential features through feature selection and trained the model using support vector machine, random forest, and gradient boosting algorithms with the prepared dataset. Due to the imbalanced distribution in the dataset with a low sample size, holdout was applied with stratified 10-fold and cross-validation for estimating the model performance. The reliability of the constructed model was validated using an unseen test set. The model was then trained with hyperparameter optimization. During the feature selection process, 27 features were identified as meaningful factors for frailty. The model was trained based on the selected features, and the weighted average F1-score reached 95.30% with the random forest algorithm. The results of the study demonstrated the possibility of adopting machine learning to strengthen existing frailty criteria. As the method analyzes questionnaire responses in a short time, it can support higher volumes of data on participants' health conditions and alert them regarding potential risks in advance.",,229
461,35978925,Bioinformatics analysis of KLF2 as a potential prognostic factor in ccRCC and association with epithelial-mesenchymal transition.,"Clear cell renal cell carcinoma (ccRCC) is a primary pathological subtype of RCC and has poor clinical outcome. Krüppel-like factors (KLFs), which are zinc-finger proteins, may be involved in ccRCC development and progression. KLFs belong to the zinc-finger family of DNA-binding transcription factors and regulate transcription of downstream target genes. KLFs are involved in cancer development. The present study aimed to investigate the role of KLFs in ccRCC prognosis. The Cancer Genome Atlas database and multifactorial analysis showed that KLFs were widely expressed in pan-cancers and KLF2 was an independent protective factor for ccRCC prognosis. Patients with low KLF2 expression had a low survival probability and expression of KLF2 was downregulated in patients with ccRCC with high pathological grade (II + III vs. I). In addition, western blot and reverse transcription-quantitative PCR revealed that KLF2 was expressed at low levels in ccRCC cell lines and overexpression of KLF2 inhibited cell migration. In addition, KLF2 expression was negatively correlated with methylation. KLF2 expression was elevated following treatment of ccRCC cells with DNA methyltransferase inhibitor. A prognostic risk index prediction model was constructed based on multiple Cox regression. The receiver operating characteristic curve was 0.780 (area under curve >0.5). Furthermore, Gene Ontology enrichment analysis showed that 'cell adhesion' and 'junction' were negatively correlated with KLF2 and that high-risk group exhibited significantly activated 'epithelial-mesenchymal transition'. Western blot analysis showed that overexpression of KLF2 increased expression of E-cadherin, while decreasing levels of N-cadherin and vimentin. The present study highlighted the role of KLFs in ccRCC prognosis prediction and provides a research base for the search of validated prognostic biological markers for ccRCC.",,230
1390,35969047,Single-Molecule Analysis of Sf9 Purified Superprocessive Kinesin-3 Family Motors.,"A complex cellular environment poses challenges for single-molecule motility analysis. However, advancement in imaging techniques have improved single-molecule studies and has gained immense popularity in detecting and understanding the dynamic behavior of fluorescent-tagged molecules. Here, we describe a detailed method for in vitro single-molecule studies of kinesin-3 family motors using Total Internal Reflection Fluorescence (TIRF) microscopy. Kinesin-3 is a large family that plays critical roles in cellular and physiological functions ranging from intracellular cargo transport to cell division to development. We have shown previously that constitutively active dimeric kinesin-3 motors exhibit fast and superprocessive motility with high microtubule affinity at the single-molecule level using cell lysates prepared by expressing motor in mammalian cells. Our lab studies kinesin-3 motors and their regulatory mechanisms using cellular, biochemical and biophysical approaches, and such studies demand purified proteins at a large scale. Expression and purification of these motors using mammalian cells would be expensive and time-consuming, whereas expression in a prokaryotic expression system resulted in significantly aggregated and inactive protein. To overcome the limitations posed by bacterial purification systems and mammalian cell lysate, we have established a robust Sf9-baculovirus expression system to express and purify these motors. The kinesin-3 motors are C-terminally tagged with 3-tandem fluorescent proteins (3xmCitirine or 3xmCit) that provide enhanced signals and decreased photobleaching. In vitro single-molecule and multi-motor gliding analysis of Sf9 purified proteins demonstrate that kinesin-3 motors are fast and superprocessive akin to our previous studies using mammalian cell lysates. Other applications using these assays include detailed knowledge of oligomer conditions of motors, specific binding partners paralleling biochemical studies, and their kinetic state.",,231
27,35985098,Sex differences in patterns of associative memory-related activation in individuals at risk of Alzheimer's disease.,"The risk of developing Alzheimer's disease dementia is higher in females compared to males and is greater in individuals with subjective cognitive decline and mild cognitive impairment than in healthy controls. We used a multivariate behavioral partial least square correlation analysis to examine how relationships between memory-related activation and associative memory performance vary as a function of sex and clinical status. This was assessed in 182 participants from the Consortium for the Early Identification of Alzheimer's Disease-Quebec cohort, which were stratified according to sex (Male, Female) and clinical status (healthy controls, subjective cognitive decline, mild cognitive impairment). We found 6 significant latent variables mainly expressing: (1) overall sex differences; (2) between-sex differences according to clinical status; and (3) within-sex differences according to clinical status in relationships between whole-brain memory-related activation and memory performance. These patterns of activation mostly involved the default mode and fronto-parietal networks. Our results have implication in understanding the macro-scale functional processes possibly contributing to the higher risk of cognitive decline in females compared to males in the context of aging and early Alzheimer's disease.",,232
1680,35968093,Constitutive expression of VviNAC17 transcription factor significantly induces the synthesis of flavonoids and other phenolics in transgenic grape berry cells.,"VviNAC17 is a grapevine transcription factor activated by ABA. Because ABA has been proposed as the main signal modulating the secondary metabolism in grape berry skins, here we postulated VviNAC17 as a positive regulator of secondary metabolism in grape cells. To validate the hypothesis, VviNAC17 was constitutively and stably overexpressed in grape berry suspension-cultured cells of Gamay Fréaux cv. by Agrobacterium-mediated transformation. Targeted transcriptional analyses by qPCR showed that several genes involved the phenylpropanoid (VviPAL1), stilbenoid (VviSTS1) and flavonoid pathways (VviDFR, VviLAR1, VviANR, VviLDOX, and VviUFGT1), as well as anthocyanin vacuolar transport and accumulation (VviGST4 and VvMATE1) were significantly upregulated in VviNAC17-overexpressing transgenic cells, which translated in the stimulation of a number of enzymatic activities in those pathways. This was the case of phenylalanine ammonia lyase (PAL) and UDP-glucose:flavonoid 3-O-glucosyltransferase (UFGT) that were about 2-fold and 3.5-fold higher in VviNAC17-overexpressing cells than in control cells. VviNAC17-overexpressing cells accumulated significantly higher amounts of anthocyanins, proanthocyanidins, total flavonoids and total phenolics. These findings confirmed that VviNAC17 is an important positive regulator of secondary metabolism in grapevine contributing to the accumulation of important berry quality-related secondary metabolites.",,233
2099,35967419,Spindle pole body component 25 and platelet-derived growth factor mediate crosstalk between tumor-associated macrophages and prostate cancer cells.,"Tumor-associated macrophages (TAMs) are involved in the growth of prostate cancer (PrC), while the molecular mechanisms underlying the interactive crosstalk between TAM and PrC cells remain largely unknown. Platelet-derived growth factor (PDGF) is known to promote mesenchymal stromal cell chemotaxis to the tumor microenvironment. Recently, activation of spindle pole body component 25 (SPC25) has been shown to promote PrC cell proliferation and is associated with PrC stemness. Here, the relationship between SPC25 and PDGF in the crosstalk between TAM and PrC was investigated. Significant increases in both PDGF and SPC25 levels were detected in PrC specimens compared to paired adjacent normal prostate tissues. A significant correlation was detected between PDGF and SPC25 levels in PrC specimens and cell lines. SPC25 increased PDGF production and tumor cell growth in cultured PrC cells and in xenotransplantation. Mechanistically, SPC25 appeared to activate PDGF in PrC likely through Early Growth Response 1 (Egr1), while the secreted PDGF signaled to TAM through PDGFR on macrophages and polarized macrophages, which, in turn, induced the growth of PrC cells likely through their production and secretion of transforming growth factor β1 (TGFβ1). Thus, our data suggest that SPC25 triggers the crosstalk between TAM and PrC cells via SPC25/PDGF/PDGFR/TGFβ1 receptor signaling to enhance PrC growth.",,234
1648,35968126,Inoculation With Azospirillum spp. Acts as the Liming Source for Improving Growth and Nitrogen Use Efficiency of Potato.,"Nitrogen (N) is one of the limiting factors for plant growth, and it is mainly supplied exogenously by fertilizer application. It is well documented that diazotrophic rhizobacteria improve plant growth by fixing atmospheric N in the soil. The present study investigates the nitrogen-fixing potential of two Azospirillum spp. strains using the 15N isotope-dilution method. The two diazotrophic strains (TN03 and TN09) native to the rhizosphere of potato belong to the genus Azospirillum (16S rRNA gene accession numbers LN833443 and LN833448, respectively). Both strains were able to grow on an N-free medium with N-fixation potential (138-143 nmol mg-1 protein h-1) and contained the nifH gene. Strain TN03 showed highest indole acetic acid (IAA) production (30.43 μg/mL), while TN09 showed highest phosphate solubilization activity (249.38 μg/mL) while both diazotrophs showed the production of organic acids. A 15N dilution experiment was conducted with different fertilizer inputs to evaluate the N-fixing potential of both diazotrophs in pots. The results showed that plant growth parameters and N contents increased significantly by the inoculations. Moreover, reduced 15N enrichment was found compared to uninoculated controls that received similar N fertilizer levels. This validates the occurrence of N-fixation through isotopic dilution. Strain TN09 showed higher N-fixing potential than TN03 and the uninoculated controls. Inoculation with either strain also showed a remarkable increase in plant growth under field conditions. Thus, there were remarkable increases in N use efficiency, N uptake and N utilization levels. Confocal laser scanning and transmission electron microscopy showed that TN03 is an ectophyte, i.e., present outside root cells or within the grooves of root hairs, while TN09 is an endophyte, i.e., present within root cells, forming a strong association withroot it. This study confirms that diazotrophic Azospirillum spp. added to potato systems can improve plant growth and N use efficiency, opening avenues for improvement of potato crop growth with reduced input of N fertilizer.",,235
242,35982691,Combining Metabolic Analysis With Biological Endpoints Provides a View Into the Drought Resistance Mechanism of Carex breviculmis.,"Metabolomics is an effective tool to test the response of plants to environmental stress; however, the relationships between metabolites and biological endpoints remained obscure in response to drought stress. Carex breviculmis is widely used in forage production, turf management, and landscape application and it is particularly resistant to drought stress. We investigated the metabolomic responses of C. breviculmis to drought stress by imposing a 22-day natural soil water loss. The results showed that water-deficit restrained plant growth, reducing plant height, leaf fresh weight, and total weight, however, increasing soluble protein content and malondialdehyde content. In total, 129 differential metabolites in the leaves were detected between drought and control using the Ultrahigh Performance Liquid Chromatography-Mass Spectrometer (UPLC-MS) method. Drought enhanced most of the primary and secondary metabolites in the differential metabolites. Almost all the sugars, amino acids, organic acids, phytohormones, nucleotides, phenylpropanoids and polyketides in the differential metabolites were negatively correlated with plant height and leaf fresh weight, while they were positively correlated with soluble protein content and malondialdehyde content. Metabolic pathway analysis showed that drought stress significantly affected aminoacyl-tRNA biosynthesis, TCA cycling, starch and sucrose metabolism. Our study is the first statement on metabolomic responses to drought stress in the drought-enduring plant C. breviculmis. According to the result, the coordination between diverse metabolic pathways in C. breviculmis enables the plant to adapt to a drought environment. This study will provide a systematic framework for explaining the metabolic plasticity and drought tolerance mechanisms of C. breviculmis under drought stress.",,236
2308,35967072,"Ultrasonic-Assisted Extraction of Toxic Acidic Components from Acidic Oil Using 1,8-Diazobicyclo[5.4.0]undec-7-ene-Based Ionic Liquids.","Ionic liquids (ILs) show remarkable performance in enhancing the naphthenic acid extraction efficiency and decreasing the extraction time. However, the ultrasonic-assisted IL-based extraction of naphthenic acid is merely addressed previously. Therefore, this study investigated the impact of essential ultrasonic parameters, including amplitude and time, on naphthenic acid extraction using different ILs, and the system was optimized for maximum extraction. The IL 1,8-diazobicyclo[5.4.0]-undec-7-ene (DBU) with thiocyanate anions revealed the highest efficiency in extracting naphthenic acid from a model oil (dodecane) at optimized conditions, and the experimental liquid-liquid equilibrium data were obtained at atmospheric pressure for the mixture of dodecane, [DBU], thiocyanate, and naphthenic acid. In addition, the influence of the chain length of the cation (hexyl, octyl, or decyl) on the extraction efficiency was also evaluated by determining the distribution coefficients, and the conductor-like screening model for real solvents (COSMO-RS) study was carried out at infinite dilution. It was found that [DBU-Dec] [SCN] gives the best extraction efficiency and has a distribution coefficient of 9.2707 and a performance index of 49.48. Based on these values, ILs can be ordered as follows: [DBU-Dec] [SCN] > [DBU-Oct][SCN] > [DBU-Hex][SCN] in the decreasing order of performance index 49.48, 41.58, and 28.13. Moreover, non-random two liquid and Margules thermodynamic models were employed to investigate the interaction parameters between the components. Both models showed excellent agreement with the experimental results and could successfully be used for ultrasonic-assisted IL extraction of naphthenic acid.",,237
1322,35970019,Borrelia burgdorferi specific serum and cerebrospinal fluid antibodies in Lyme neuroborreliosis.,"We used definite Lyme neuroborreliosis (LNB) adult patient acute and convalescent phase serum (n = 63 and 61, respectively) and cerebrospinal fluid (CSF; acute n = 63, 3 weeks timepoint n = 41) samples to characterize Borrelia burgdorferi specific antibody responses in patient subgroups categorized by demographics, infection manifestation and phase, infecting B. burgdorferi genospecies, received antibiotic treatments, and treatment outcome. B. burgdorferi antibodies were analyzed using 4 different assays incorporating a large array of antigens. We observed that B. burgdorferi specific serum antibodies show a universal, antigen independent declining trend after antibiotic treatment of LNB at 1 year. Antibodies declined similarly among women and men over time, and the decline was independent of patient age. The antibody responses were independent of the predominant LNB manifestation, treatment received by the patient, infecting B. burgdorferi genospecies, or the subjective improvement experienced by the patients. Finally, the antibody specificities in CSF reflected the specificities observed in serum samples.",,238
91,35983392,Suspected Gastroparesis With Concurrent Gastroesophageal Reflux Disease Induced by Low-Dose Liraglutide.,"A 74-year-old woman with type 2 diabetes mellitus presented with nausea and abdomen distension. Four days prior, liraglutide 0.6 mg had been commenced. An abdominal computed tomography scan revealed gastric dilatation without mechanical obstruction which clinically suggested gastroparesis (GP). Her symptoms resolved after liraglutide discontinuation. A gastroscopy revealed reflux esophagitis. Taken together, GP may have developed along with reflux esophagitis due to liraglutide administration. Liraglutide's action inhibits gastric motility. Physicians should be cognizant of the side effects of GLP-1 agonists even in low dose in patients who have gastric emptying symptoms suggesting GP.",,239
747,35975090,Intermolecular hydrogen bonds between catechin and theanine in tea: slow release of the antioxidant capacity by a synergetic effect.,"The health benefits of drinking tea stem from it being rich in polyphenols and other physiologically-active substances. Thus, exploring the synergistic effect between polyphenols and a variety of physiologically-active substances can contribute to our understanding of how tea benefits health. In this work, we have studied the interactions between catechin and theanine, exploring the synergetic antioxidant mechanism of the two molecules. Electrochemical characterization results showed that the oxidation peak current of catechin decreased gradually with the concentration of theanine, which is due to theanine spontaneously binding to catechin through intermolecular hydrogen bonds and forming molecular clusters via two hydrogen bonds. The binding constant is 4.75 at room temperature. The molecular clusters reduce the diffusion coefficient of catechin in solution, leading to the slow release of its antioxidant capacity (ability to effectively inhibit free radical oxidation reactions). Density functional theory calculations were also performed and verified the binding behavior. In identifying the synergistic effect between catechin and theanine on the antioxidant capacity of tea, this study adds to our understanding of the efficacy of tea polyphenols.",,240
1718,35968026,Veterinary Guidelines for Electrochemotherapy of Superficial Tumors.,"Electrochemotherapy (ECT) consists in the application of electric pulses to increase chemotherapeutic drug intake (bleomycin, cisplatin, or calcium) into the tumor cells. It has become a very valuable treatment option in veterinary oncology. It is an effective and safe treatment modality, which is not only beneficial as a palliative treatment, but also for a curative approach. Performing the treatment adequately will ensure the best results possible, in the minimum number of sessions, and reduce complications. Usually, only one session is enough to achieve excellent results, but the treatment can be repeated. Several sessions can be necessary in the case of incompletely treated or very extended lesions, as well as in the occurrence of new lesions. ECT is effective for superficial or oral tumors of any histology that are accessible to the electrodes. Intravenous bleomycin is the preferred drug and route of administration, leaving other ways of administration and drugs for selected cases. The guidelines presented here are destined to veterinarians who want to develop their understanding of the basis of ECT and wish to perform it adequately and effectively. In this paper, we also discuss common problems and how to solve them, and we include practical tips to improve the treatment results based on common questions and mistakes of beginner users.",,241
328,35979907,A Cryoprotectant-Gel Composite Designed to Preserve Articular Cartilage during Frozen Osteoarticular Autograft Reconstruction for Malignant Bone Tumors: An Animal-Based Study.,"We designed a highly adhesive cryoprotectant-gel composite (CGC), based on regular liquid-form cryoprotectant base (CB), aiming to protect cartilage tissue during frozen osteoarticular autograft reconstruction for high-grade sarcoma around the joint. This study aimed to evaluate its effectiveness in rat and porcine distal femur models. Fresh articular cartilage samples harvested from distal rat and porcine femurs were divided into 4 test groups: untreated control group, liquid nitrogen (LN) freezing group, LN freezing group pretreated with CB (CB group), and LN freezing group pretreated with CGC (CGC group). Microscopic and macroscopic evaluation of cartilage condition, TUNEL (terminal deoxynucleotidyl transferase dUTP nick end labeling) assay, and apoptotic protein analysis of chondrocytes were performed to confirm our results. In the rat model, CGC could prevent articular cartilage from roughness and preserve more proteoglycans when compared with the LN freezing and CB groups. Western blot analysis showed CGC could prevent cartilage from LN-induced apoptosis supported by caspase-3/8 apoptotic signaling cascade. Macroscopically, we observed CGC could reduce both articular clefting and loss of articular luminance after freezing in the porcine model. In both models, CGC could reduce articular chondrocytes from degeneration. Fewer TUNEL-positive apoptotic and more viable chondrocytes in cartilage tissue were observed in the CGC group in our animal models. Our study proved that CGC could effectively prevent cartilage surface and chondrocytes from cryoinjury after LN freezing. Freezing articular cartilage surrounded with high concentration of CGC can be a better alternative to preserve articular cartilage during limb salvage surgery for malignant bone tumor.",,242
2444,35966852,Altered Lung Microbiome and Metabolome Profile in Children With Pulmonary Arterial Hypertension Associated With Congenital Heart Disease.,"Pulmonary arterial hypertension (PAH) is characterized by progressive pulmonary vascular functional and structural changes, resulting in increased pulmonary vascular resistance and eventually right heart failure and death. Congenital Left-to-Right shunts (LTRS) is one type of congenital heart disease (CHD) and PAH associated with the congenital Left-to-Right shunt (PAH-LTRS) is a severe disease in children. However, changes in the lung microbiome and their potential impact on PAH-LTRS have not been not fully studied. We hypothesized that lung microbiota and their derived metabolites have been disturbed in children with PAH-LTRS, which might contribute to the progression and outcomes of PAH-LTRS. In this study, 68 age- and sex-matched children of three different groups (patients with PAH-LTRS cohort, patients with LTRS but have no pathologic features of PAH cohort, and healthy reference cohort) were enrolled in the current study. Bronchoalveolar lavage fluid samples from these participants were conducted for multi-omics analysis, including 16S rRNA sequencing and metabolomic profiling. Data progressing and integration analysis were performed to identify pulmonary microbial and metabolic characteristics of PAH-LTRS in children. We found that microbial community density was not significantly altered in PAH-LTRS based on α-diversity analysis. Microbial composition analysis indicated phylum of Bacteroidetes was that less abundant while Lactobacillus, Alicycliphilus, and Parapusillimonas were significantly altered and might contribute to PAH in children with LTRS. Moreover, metabolome profiling data showed that metabolites involved in Purine metabolism, Glycerophospholipid metabolism, Galactose metabolism, and Pyrimidine metabolism were also significantly disturbed in the PAH-LTRS cohort. Correlation analysis between microbes and metabolites indicated that alterations in the microbial composition from the lung microbiota could eventually result in the disturbance in certain metabolites, and might finally contribute to the pathology of PAH-LTRS. Lung microbial density was not significantly altered in patients with PAH-LTRS. Composition analysis results showed that the relative microbiome abundance was different between groups. Metabolome profiling and correlation analysis with microbiota showed that metabolome also altered in children with PAH-LTRS. This study indicated that pulmonary microbes and metabolites disturbed in PAH-LTRS could be potentially effective biomarkers and provides valuable perspectives on clinical diagnosis, treatment, and prognosis of pediatric PAH-LTRS.",,243
345,35979350,An integrated model of acinar to ductal metaplasia-related N7-methyladenosine regulators predicts prognosis and immunotherapy in pancreatic carcinoma based on digital spatial profiling.,"Acinar-to-ductal metaplasia (ADM) is a recently recognized, yet less well-studied, precursor lesion of pancreatic ductal adenocarcinoma (PDAC) developed in the setting of chronic pancreatitis. Through digital spatial mRNA profiling, we compared ADM and adjacent PDAC tissues from patient samples to unveil the bridging genes during the malignant transformation of pancreatitis. By comparing the bridging genes with the 7-methylguanosine (m7G)-seq dataset, we screened 19 m7G methylation genes for a subsequent large sample analysis. We constructed the m7G score model based on the RNA-seq data for pancreatic cancer in The Cancer Genome Atlas (TCGA) database and The Gene Expression Omnibus (GEO) database. Tumors with a high m7G score were characterized by increased immune cell infiltration, increased genomic instability, higher response rate to combined immune checkpoint inhibitors (ICIs), and overall poor survival. These findings indicate that the m7G score is associated with tumor invasiveness, immune cell infiltration, ICI treatment response, and overall patients' survival. We also identified FN1 and ITGB1 as core genes in the m7Gscore model, which affect immune cell infiltration and genomic instability not only in pancreatic cancer but also in pan-cancer. FN1 and ITGB1 can inhibit immune T cell activition by upregulation of macrophages and neutrophils, thereby leading to immune escape of pancreatic cancer cells and reducing the response rate of ICI treatment.",,244
1152,35973767,Knockdown of UDP-N-acetylglucosamine pyrophosphorylase and chitin synthase A increases the insecticidal efficiency of Lufenuron to Spodoptera exigua.,"Spodoptera exigua (Lepidoptera, Noctuidae) has been responsible for causing considerable and widespread agricultural losses worldwide. Owing to strong selective pressure, S. exigua showed increased resistance to Lufenuron (LUF). Consequently, RNA interference (RNAi)-based insecticides had more benefits than chemical insecticides. Therefore, to enhance the insecticidal activity of LUF to S. exigua, in the present study, we aimed to elucidate the impact of double-stranded RNAs (dsRNAs) on S. exigua larval susceptibility to LUF. First, the transcriptome of S. exigua was sequenced following the treatment with LUF. By comparing the upregulated and downregulated GO enrichment, chitin binding and chitin metabolic processes were the significantly enriched pathways. According to transcriptome sequencing, 8 genes associated with chitin biosynthesis, 8 chitin degradation genes, and 17 cuticle protein genes were obtained. UDP-N-acetylglucosamine pyrophosphorylase (UAP) and Chitin synthase A (CHSA) showed significantly downregulated expression after treatment with different sublethal doses of LUF. Downregulation of UAP increased mortality from 31.97% to 47.91% when the larvae were exposed to LUF. A significant increase in the mortality of S. exigua from 30.63% to 50.19% was observed following LUF administration after dsCHSA. In addition, the expression analysis of genes associated with chitin biosynthesis was significantly changed after LUF treatment, dsRNAs-RNAi, and their combination (LUF-dsRNAs). Significant differences were observed in the chitin content between the control group at 72 h after treatments. Results of the present study can help further elucidate the understanding of the combined effects of RNAi and LUF on S. exigua. Additionally, this research provides a suitable foundation for future studies with the aim to develop an efficient method of delivery for large-scale pest control in the fields.",,245
484,35978871,Micelles as potential drug delivery systems for colorectal cancer treatment.,"Despite the significant progress in cancer therapy, colorectal cancer (CRC) remains one of the most fatal malignancies worldwide. Chemotherapy is currently the mainstay therapeutic modality adopted for CRC treatment. However, the long-term effectiveness of chemotherapeutic drugs has been hampered by their low bioavailability, non-selective tumor targeting mechanisms, non-specific biodistribution associated with low drug concentrations at the tumor site and undesirable side effects. Over the last decade, there has been increasing interest in using nanotechnology-based drug delivery systems to circumvent these limitations. Various nanoparticles have been developed for delivering chemotherapeutic drugs among which polymeric micelles are attractive candidates. Polymeric micelles are biocompatible nanocarriers that can bypass the biological barriers and preferentially accumulate in tumors via the enhanced permeability and retention effect. They can be easily engineered with stimuli-responsive and tumor targeting moieties to further ensure their selective uptake by cancer cells and controlled drug release at the desirable tumor site. They have been shown to effectively improve the pharmacokinetic properties of chemotherapeutic drugs and enhance their safety profile and anticancer efficacy in different types of cancer. Given that combination therapy is the new strategy implemented in cancer therapy, polymeric micelles are suitable for multidrug delivery and allow drugs to act concurrently at the action site to achieve synergistic therapeutic outcomes. They also allow the delivery of anticancer genetic material along with chemotherapy drugs offering a novel approach for CRC therapy. Here, we highlight the properties of polymeric micelles that make them promising drug delivery systems for CRC treatment. We also review their application in CRC chemotherapy and gene therapy as well as in combination cancer chemotherapy.",,246
2260,35967171,AQP9 (Aquaporin 9) Determines Arsenic Uptake and Tolerance in Human Hepatocellular Carcinoma Cells In Vitro.,"Arsenic-based therapeutic strategies, even though promising for acute promyelocytic leukemia (APL), are limited by arsenic-related toxic effect and resistance with unknown mechanisms. The purpose of this study is to better understand the different sensitivities of hepatocellular carcinoma cells to arsenic and its mechanism. Arsenic-sensitive liver cancer cell line (HepG2) and arsenic-resistant HepG2 (AsHepG2) cells are employed to study the role of aquaporin 9 (AQP9) in arsenic uptake and tolerance. The half-maximal inhibitory concentration (IC50) value of arsenic in AsHepG2 cells (15.59 ± 1.36 µM) is significantly higher than that in HepG2 cells (7.33 ± 0.93 µM; p= 0.0288). We demonstrated that, with the treatment of sodium arsenite (NaAsO2), arsenic was accumulated at a significantly lower level in AsHepG2 cells in comparison with HepG2 cells (p= 0.00549). Further, arsenic level in AsHepG2 cells reaches a plateau after six hours of treatment, whereas arsenic continues to increase in HepG2 cells during the entire experimental period. Mechanistic study showed that the expression of AQP9 is decreased in a dose-dependent manner in AsHepG2 cells, but no significant difference in HepG2 cells. Furthermore, NaAsO2 dramatically increases AQP9 and p38 phosphorylation, which may partially regulate arsenic sensitivity in both cell lines. In conclusion, the expression and phosphorylation of AQP9 regulated by p38 kinase are involved in the arsenic uptake, thus regulating cellular arsenic sensitivity.",,247
2401,35966954,"The relationship between self-care activities, social support, and glycemic control in primary healthcare patients with type 2 diabetes.","Egyptian studies in assessing the relationship between diabetes self-care, social support, and glycemic control in primary healthcare (PHC) are limited. Therefore, this study aimed to assess this relationship, and to evaluate the associated factors of diabetes self-care, social support, and glycemic control in Egyptian PHC patients with type 2 diabetes (T2DM). A cross-sectional study was conducted on 320 T2DM patients at four PHC settings in Port Said city, affiliated with the General Authority of Healthcare. A semi-structured questionnaire was used to collect data, including demographic characteristics, socioeconomic status scale, disease profile, the Arabic versions of the Summary of Diabetes Self-Care Activities, and the received social support scales. Data were collected from January 2020 to June 2020. Diabetes self-care activities, and self-monitoring of blood glucose had a very weak negative correlations with glycated hemoglobin (HbA1c) levels (rho = - 0.125, p = 0.025, rho = - 0.112, p = 0.044, respectively). Receiving social support on following a meal correlated positively and very weakly with HbA1c levels (rho = 0.145, p = 0.010). Hardly positive correlation was found between receiving emotional support on feelings about diabetes, and following a specific diet (rho = 0.169, p = 0.002). Diabetes self-care activities were positively associated with higher education levels, and elevated BMI. Received social support was negatively associated with having coronary artery disease, and marital status e.g. divorced and widow. Increased age, and female gender were the predictors of good glycemic control. Diabetes self-care activities were linked with reduced HBA1c levels. Further studies are needed to evaluate the buffering effect of social support on glycemic outcomes in PHC patients with T2DM.",,248
178,35982911,Tumor-associated macrophage-derived chemokine CCL5 facilitates the progression and immunosuppressive tumor microenvironment of clear cell renal cell carcinoma.,"Background: Tumor-associated macrophages (TAMs) dominate the malignancy of cancers by perturbing the tumor microenvironment (TME). However, the clinical implications of heterogeneous subpopulations of TAMs in clear cell renal cell carcinoma (ccRCC) remain to be elucidated. Methods: We comprehensively evaluated the prognostic implications, biological behaviors, and immunogenomics features of the C-C Motif Chemokine Ligand 5 (CCL5) expression and CCL5+ TME in vitro and in 932 real-world ccRCC patients from testing and public validation cohorts. Flow cytometry was used to examine the functional patterns of CCL5+ TAMs with TME cell-infiltrating characterizations. Results: Our results identified distinct prognostic clusters with gradual changes in clinicopathological indicators based on CCL5 expression. Knockdown of CCL5 significantly restrained cell viability, migration capabilities of ccRCC cells, and the inhibits the proliferation and chemotaxis of THP1-derived TAMs. Mechanically, down-regulation of CCL5 arrested epithelial-mesenchymal transition by modulating the PI3K/AKT pathway in ccRCC cells. In ccRCC samples with CCL5 upregulation, the proportion of CCL5+ TAMs and PD-L1+ CD68+ TAMs were prominently increased, showing a typical suppressive tumor immune microenvironment (TIME). Besides, intra-tumoral CCL5+ TAMs showed distinct pro-tumorigenic TME features characterized by exhausted CD8+ T cells and increased expression of immune checkpoints. Furthermore, elevated CCL5+ TAMs infiltration was prominently associated with a dismal prognosis for patients with ccRCC. Conclusion: In conclusion, this study first revealed the predictive value of the chemokine CCL5 on the progression and TME of ccRCC. The intra-tumoral CCL5+ TAMs could be applied to comprehensively evaluate the prognostic patterns as well as unique TME characteristics among individuals, allowing for the identification of immunophenotypes and promotion of treatment efficiency for ccRCC.",,249
